ID_long,h_type,room_cnt_os.x,p01_plc_2,p02_plc_2,p03_plc_2,p04_plc_2,p05_plc_2,p06_plc_2,p07_plc_2,p08_plc_2,p09_plc_2,p010_plc_2,p011_plc_2,p012_plc_2,p01_plcrec_2,p02_plcrec_2,p03_plcrec_2,p04_plcrec_2,p05_plcrec_2,p06_plcrec_2,p07_plcrec_2,p08_plcrec_2,p09_plcrec_2,p010_plcrec_2,p011_plcrec_2,p012_plcrec_2,p01_rel_2,p02_rel_2,p03_rel_2,p04_rel_2,p05_rel_2,p06_rel_2,p07_rel_2,p08_rel_2,p09_rel_2,p010_rel_2,p011_rel_2,p012_rel_2,p01_age,p02_age,p03_age,p04_age,p05_age,p06_age,p07_age,p08_age,p09_age,p010_age,p011_age,p012_age,fam_size2,race2,pr_hh,pr_pop_hh,no_year_site2,no_year_city2,rent_os_grss,ann_inc_sum,rent_ut,hh_brdn_rent,hh_brdn_rent_ut,room_cnt_os,ovrcrwd,ovr_grp
3262929212-61015-001_3262929212-61015-002,Rooming,1,PR,PR,USA,USA,USA,USA,NA,NA,NA,NA,,,PR,PR,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,H,Wife,Son,Son,Son,Son,Daughter,NA,NA,NA,NA,NA,44,33,5,3,2,0,NA,NA,NA,NA,NA,NA,7,Puerto Rican,1,7,4,9,572,2756,572,20.75471698,20.75471698,1,7,1.51 or more
3458098234-61022-001_3458098234-61022-002,Apartment,1,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,,,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Head,Roommate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,White,0,0,3.5,3.5,660,9500,1080,6.947368421,11.36842105,1,2,1.51 or more
3458098234-61022-003_3458098234-61022-004,Apartment,1,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,,,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,0,4,5,660,7540,660,8.75331565,8.75331565,1,2,1.51 or more
3458098234-61022-005_3458098234-61022-006,Apartment,3,Russia,USA,USA,NA,NA,NA,NA,NA,NA,NA,,,Europe,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Husband,Wife,Son,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,39,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,White,0,0,4,4,780,5200,912,15,17.53846154,3,1,1.00 or less
3458098649-61037-001_3458098649-61037-002,Rooming,2,PR,PR,PR,USA,USA,NA,NA,NA,NA,NA,,,PR,PR,PR,USA,USA,NA,NA,NA,NA,NA,NA,NA,H,Wife,Son,Daughter,Daughter,NA,NA,NA,NA,NA,NA,NA,37,35,15,10,8,0,NA,NA,NA,NA,NA,NA,6,Puerto Rican,1,6,5,12,780,4131.4,780,18.87979862,18.87979862,2,3,1.51 or more
3458098649-61037-003_3458098649-61037-004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3458098649-61037-005_3458098649-61037-006,Rooming,3,PR,PR,PR,PR,NA,NA,NA,NA,NA,NA,,,PR,PR,PR,PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,25,6,3,NA,NA,NA,NA,NA,NA,NA,NA,4,Puerto Rican,1,4,2,4,390,NA,390,NA,NA,3,1.333333333,1.01 to 1.50
3458098649-61037-007_3458098649-61037-008,Rooming,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wife,H,Son,Son,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,0,0,NA,NA,363.96,NA,363.96,NA,NA,3,1.333333333,1.01 to 1.50
3458098649-61037-009_3458098649-61037-010,Rooming,3,PR,PR,USA,USA,USA,NA,NA,NA,NA,NA,,,PR,PR,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,HF,Son,Son,Son,Son,NA,NA,NA,NA,NA,NA,NA,30,7,3,2,1,NA,NA,NA,NA,NA,NA,NA,5,NA,1,5,4.5,4,390,NA,390,NA,NA,3,1.666666667,1.51 or more
3458098649-61037-011_3458098649-61037-012,Rooming,2,PR,PR,PR,USA,NA,NA,NA,NA,NA,NA,,,PR,PR,PR,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,31,9,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,4,NA,NA,NA,NA,NA,NA,NA,2,2,1.51 or more
